# Endeks Bileşenleri (Hisse Senedi - Endeks İlişkisi):
# 
# Bu dosya her hisse senedinin hangi endekslerde yer aldığını gösterir.
# 
# === TEMEL ENDEKSLER ===
# XU030: BIST 30 - En likit 30 hisse
# XU050: BIST 50 - En likit 50 hisse
# XU100: BIST 100 - En likit 100 hisse
# XU500: BIST 500 - Geniş pazar endeksi
# XUTUM: BIST TÜM - Tüm hisseler
# 
# === ÖZEL ENDEKSLER ===
# XYLDZ: BIST YILDIZ - Yıldız şirketler
# XHARZ: BIST HALKA ARZ - Halka arz edilen şirketler
# XSD25: BIST SÜRDÜRÜLEBİLİRLİK 25
# XSRDK: BIST KATILIM SÜRDÜRÜLEBİLİRLİK
# 
# === SEKTÖREL ENDEKSLER ===
# XBANK: BIST BANKA
# XBLSM: BIST BİLİŞİM
# XELKT: BIST ELEKTRİK
# XGIDA: BIST GIDA İÇECEK
# XGMYO: BIST GAYRİMENKUL Y.O.
# XHOLD: BIST HOLDİNG VE YATIRIM
# XTEKS: BIST TEKSTİL DERİ
# XTAST: BIST TAŞ TOPRAK
#
stock_symbol,indices
A1CAP,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XAKUR"
A1YEN,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XELKT,XSMNS"
ACSEL,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XKMYA,XSDNZ"
ADEL,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUSIN,XSINS,XSIST"
ADESE,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUHIZ,XSKON"
ADGYO,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUMAL,XGMYO,XGYOS"
AEFES,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XKURY,XUSRD,XSD25,XUSIN,XSINS,XGIDA,XSIST"
AFYON,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUSIN,XSINS,XTAST"
AGESA,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUSRD,XUGRA,XUMAL,XSGRT"
AGHOL,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XTM25S,XUMAL,XHOLD,XSIST"
