# BIST Endeksleri:
# 
# === ANA ENDEKSLER ===
# X030: BIST 30 - En büyük 30 şirket endeksi
# X100: BIST 100 - En büyük 100 şirket endeksi
# XBANA: BIST ANA - Ana pazar endeksi
# 
# === SEKTÖREL ENDEKSLER ===
# XBANK: BIST BANKA - Bankacılık sektörü
# XBLSM: BIST BILISIM - Bilişim teknolojileri
# XELKT: BIST ELEKTRIK - Elektrik sektörü
# XGIDA: BIST GIDA ICECEK - Gıda ve içecek
# XGMYO: BIST GAYRIMENKUL Y.O. - Gayrimenkul yatırım ortaklıkları
# XHOLD: BIST HOLDING VE YATIRIM - Holding şirketleri
# XTEKS: BIST TEKSTIL DERI - Tekstil ve deri
# XTAST: BIST TAS TOPRAK - Taş ve toprak ürünleri
# 
# === ÖZEL ENDEKSLER ===
# XSD25: BIST SURDURULEBILIRLIK 25 - Sürdürülebilirlik endeksi
# XSRDK: BIST KATILIM SURDURULEBILIRLIK - Katılım sürdürülebilirlik
# XSPOR: BIST SPOR - Spor sektörü
# 
# === ŞEHİR ENDEKSLERI ===
# XSIST: BIST ISTANBUL - İstanbul şirketleri
# XSIZM: BIST IZMIR - İzmir şirketleri
# XSBUR: BIST BURSA - Bursa şirketleri
# XSKON: BIST KONYA - Konya şirketleri
#
index_code,index_name
X030C,BIST 30 AGIRLIK SINIRLAMALI 25
X030EA,BIST 30 ESIT AGIRLIKLI GETIRI
X030S,BIST 30 AGIRLIK SINIRLAMALI 10
X100C,BIST 100 AGIRLIK SINIRLAMALI 25
X100S,BIST 100 AGIRLIK SINIRLAMALI 10
X10XB,BIST BANKA DISI LIKIT 10
XAKUR,BIST ARACI KURUMLAR
XBANA,BIST ANA
XBANK,BIST BANKA
XBLSM,BIST BILISIM
XELKT,BIST ELEKTRIK
XELOC,BIST 50-30 AGIRLIK SINIRLAMALI 25
XELOS,BIST 50-30 AGIRLIK SINIRLAMALI 10
XELOT,BIST 50-30
XFINK,BIST FIN. KIR. FAKTORING
XGIDA,BIST GIDA ICECEK
XGMYO,BIST GAYRIMENKUL Y.O.
XGYOS,BIST GAYRIMENKUL Y.O. AGIRLIK SINIRLAMALI
XHARZ,BIST HALKA ARZ
XHOLD,BIST HOLDING VE YATIRIM
XILTM,BIST ILETISIM
XINSA,BIST INSAAT
XK030,BIST KATILIM 30
XK030EA,BIST KATILIM 30 ESIT AGIRLIKLI GETIRI
XK050,BIST KATILIM 50
XK100,BIST KATILIM 100
XKAGT,BIST ORMAN KAGIT BASIM
XKMYA,BIST KIMYA PETROL PLASTIK
XKOBI,BIST KOBI SANAYI
XKTMT,BIST KATILIM TEMETTU
XKTUM,BIST KATILIM TUM
XKURY,BIST KURUMSAL YONETIM
XLBNK,BIST LIKIT BANKA
XMADN,BIST MADENCILIK
XMANA,BIST METAL ANA
XMESY,BIST METAL ESYA MAKINA
XSADA,BIST ADANA
XSANK,BIST ANKARA
XSANT,BIST ANTALYA
XSAYD,BIST AYDIN
XSBAL,BIST BALIKESIR
XSBUR,BIST BURSA
XSD25,BIST SURDURULEBILIRLIK 25
XSDNZ,BIST DENIZLI
XSGRT,BIST SIGORTA
XSINS,BIST SINAI AGIRLIK SINIRLAMALI
XSIST,BIST ISTANBUL
XSIZM,BIST IZMIR
XSKAY,BIST KAYSERI
XSKOC,BIST KOCAELI
XSKON,BIST KONYA
XSMNS,BIST MANISA
XSPOR,BIST SPOR
XSRDK,BIST KATILIM SURDURULEBILIRLIK
XSTKR,BIST TEKIRDAG
XTAST,BIST TAS TOPRAK
XTCRT,BIST TICARET
XTEKS,BIST TEKSTIL DERI
XTKJS,BIST TEKNOLOJI AGIRLIK SINIRLAMALI
XTM25,BIST TEMETTU 25
XTM25S,BIST TEMETTU 25 AGIRLIK SINIRLAMALI 10
XTMTU,BIST TEMETTU
XTRZM,BIST TURIZM
XTUMY,BIST TUM-100
XU030,BIST 30
XU050,BIST 50
XU100,BIST 100
XU500,BIST 500
XUGRA,BIST GERI ALIM
XUHIZ,BIST HIZMETLER
XULAS,BIST ULASTIRMA
XUMAL,BIST MALI
XUSIN,BIST SINAI
XUSRD,BIST SURDURULEBILIRLIK
XUTEK,BIST TEKNOLOJI
XUTUM,BIST TUM
XYLDZ,BIST YILDIZ
XYORT,BIST MENKUL KIYM. Y.O.
XYUZO,BIST 100-30
