# Teminat Oranları:
# 
# Bu dosya finansal araçlar için gerekli teminat oranlarını içerir.
# Teminat oranı, o finansal araçla işlem yapmak için gereken minimum nakit miktarıdır.
# 
# === HİSSE SENETLERİ ===
# Ana hisse senetleri için teminat oranları (TL cinsinden)
# Örnek: AEFES için %14.5 teminat oranı
# 
# === ENDEKSLER ===
# D_XU030D: BIST 30 endeks türevi
# D_XLBNKD: BIST Banka endeks türevi
# D_XSD25D: BIST Sürdürülebilirlik 25 endeks türevi
# 
# === DÖVİZ ===
# USD cinsi teminat oranları (USD cinsinden)
# D_EURUSD: EUR/USD paritesi
# D_GBPUSD: GBP/USD paritesi
# 
# === EMTIA/ALTIN ===
# D_XAUUSD: Altın (USD/ounce)
# D_XAGUSD: Gümüş (USD/ounce)
# D_XCUUSD: Bakır (USD)
# D_XPTUSD: Platin (USD/ounce)
# D_XPDUSD: Paladyum (USD/ounce)
#
contract,margin_rate,currency,related_symbol
AEFES,14.5,TL,IMKBH'AEFES
AKBNK,14.4,TL,IMKBH'AKBNK
AKSEN,13.2,TL,IMKBH'AKSEN
ALARK,13.8,TL,IMKBH'ALARK
ARCLK,12.3,TL,IMKBH'ARCLK
ASELS,15.6,TL,IMKBH'ASELS
ASTOR,15.1,TL,IMKBH'ASTOR
BIMAS,12.1,TL,IMKBH'BIMAS
BRSAN,15.1,TL,IMKBH'BRSAN
CIMSA,13.4,TL,IMKBH'CIMSA
D_CNHTRY,11.8,TL,FX'CHNTRY
DOAS,14.1,TL,IMKBH'DOAS
DOHOL,15.1,TL,IMKBH'DOHOL
EKGYO,14.5,TL,IMKBH'EKGYO
D_ELCBAS04,20.0,TL,IMKBH'XXXX
D_ELCBAS05,11.0,TL,IMKBH'XXXX
D_ELCBAS06,6.0,TL,IMKBH'XXXX
ENJSA,14.1,TL,IMKBH'ENJSA
ENKAI,14.5,TL,IMKBH'ENKAI
EREGL,13.1,TL,IMKBH'EREGL
D_EURTRY,11.3,TL,FX'EURTRY
FROTO,13.4,TL,IMKBH'FROTO
GARAN,14.1,TL,IMKBH'GARAN
GUBRF,15.1,TL,IMKBH'GUBRF
HALKB,14.8,TL,IMKBH'HALKB
HEKTS,14.0,TL,IMKBH'HEKTS
ISCTR,13.8,TL,IMKBH'ISCTR
KCHOL,12.7,TL,IMKBH'KCHOL
KONTR,15.5,TL,IMKBH'KONTR
KOZAA,14.1,TL,IMKBH'KOZAA
KOZAL,15.1,TL,IMKBH'KOZAL
KRDMD,13.6,TL,IMKBH'KRDMD
MGROS,13.4,TL,IMKBH'MGROS
ODAS,14.1,TL,IMKBH'ODAS
OYAKC,14.9,TL,IMKBH'OYAKC
PETKM,13.8,TL,IMKBH'PETKM
PGSUS,14.1,TL,IMKBH'PGSUS
D_RUBTRY,17.7,TL,FX'RUBUSD
SAHOL,13.8,TL,IMKBH'SAHOL
SASA,15.5,TL,IMKBH'SASA
D_SASX10,5.8,TL,IMKBH'SASX
SISE,13.9,TL,IMKBH'SISE
SOKM,13.6,TL,IMKBH'SOKM
TAVHL,14.3,TL,IMKBH'TAVHL
TCELL,13.0,TL,IMKBH'TCELL
THYAO,13.4,TL,IMKBH'THYAO
TKFEN,15.8,TL,IMKBH'TKFEN
D_TLREF1M (Vade Dışı),8.2,TL,IMKBX'TLREF
D_TLREF1M (Vade İçi),9.1,TL,IMKBX'TLREF
TOASO,15.0,TL,IMKBH'TOASO
TRT020926T17,12.9,TL,IMKBX'TLREF
TRT131130T14,25.2,TL,IMKBX'TLREF
TSKB,14.1,TL,IMKBH'TSKB
TTKOM,13.4,TL,IMKBH'TTKOM
TUPRS,13.4,TL,IMKBH'TUPRS
ULKER,13.7,TL,IMKBH'ULKER
D_USDTRY,11.4,TL,FX'USDTRY
VAKBN,14.1,TL,IMKBH'VAKBN
VESTL,14.1,TL,IMKBH'VESTL
D_X10XBD,12.6,TL,IMKBX'X10XB
D_XAUTRY,10.4,TL,KIYM'XGLD
D_XLBNKD,13.9,TL,IMKBX'XLBNK
D_XSD25D,11.8,TL,IMKBX'XSD25
D_XU030D,11.9,TL,IMKBX'XU030
YKBNK,15.5,TL,IMKBH'YKBNK
D_EURUSD,3.2,USD,FX'USDTRY
D_GBPUSD,3.2,USD,FX'GBPUSD
D_XAGUSD,11.1,USD,KIYM'SLV
D_XAUUSD,5.4,USD,KIYM'GLD
D_XCUUSD,8.1,USD,KIYM'COPPER
D_XPDUSD,13.9,USD,KIYM'PLD
D_XPTUSD,8.8,USD,KIYM'PLT
