Date,Open,High,Low,Close,Volume
12/31/2018,52.891,53.149,51.652,52.248,1655504
1/2/2019,51.36,53.04,51.264,52.734,1593395
1/3/2019,52.534,53.313,51.119,51.274,2097957
1/4/2019,52.128,54,51.843,53.904,2301428
1/7/2019,54.049,54.135,53.132,53.796,2372667
1/8/2019,54.3,54.668,53.418,54.269,1770654
1/9/2019,54.399,54.582,53.718,54.083,1349912
1/10/2019,53.747,53.991,53.234,53.942,1329861
1/11/2019,53.495,53.668,52.822,53.224,1543238
1/14/2019,52.667,52.923,52.427,52.576,1424486
1/15/2019,52.9,54.413,52.722,54.326,1875852
1/16/2019,54.5,55.118,54.4,54.476,1914041
1/17/2019,54.4,55.035,54.163,54.956,1244801
1/18/2019,55.43,55.9,54.964,55.365,2244569
1/22/2019,54.8,54.948,53.545,53.932,1981594
1/23/2019,54.343,54.648,53.378,54.221,1259738
1/24/2019,54.126,54.4,53.501,54.2,1455948
1/25/2019,54.711,55.168,54.59,55.076,1163788
1/28/2019,54.504,54.669,53.731,53.993,1466714
1/29/2019,54.052,54.237,53.301,53.503,985248
1/30/2019,53.868,54.976,53.832,54.9,1472647
1/31/2019,55.612,56.384,55.262,56.295,2011572
2/1/2019,56.115,56.72,55.713,55.931,1655813
2/4/2019,55.951,57.117,55.875,57.071,3920591
2/5/2019,56.482,57.639,56.18,57.594,4114790
2/6/2019,57.463,57.7,55.918,56.145,2412820
2/7/2019,55.591,55.6,54.679,55.296,1914877
2/8/2019,54.744,55.255,54.712,55.119,1088327
2/11/2019,55.188,55.672,55,55.106,924881
2/12/2019,55.551,56.643,55.551,56.379,1751771
2/13/2019,56.652,57.142,56.3,56.432,1402087
2/14/2019,56.25,56.807,55.854,56.46,1055297
2/15/2019,56.965,56.965,55.836,55.982,1391348
2/19/2019,55.832,56.482,55.832,56.326,1099259
2/20/2019,56.444,56.547,55.588,56.03,1204533
2/21/2019,55.939,55.958,54.899,55.211,1663980
2/22/2019,55.485,55.863,55.025,55.828,1471783
2/25/2019,56.097,56.27,55.706,55.867,1310362
2/26/2019,55.718,56.322,55.335,56.101,1751261
2/27/2019,55.701,56.287,55.428,56.145,1104881
2/28/2019,55.95,56.7,55.921,56.328,1371355
3/1/2019,56.55,57.5,56.55,57.426,1704258
3/4/2019,57.728,58.276,56.912,57.671,1774467
3/5/2019,57.8,58.824,57.651,58.46,2004723
3/6/2019,58.588,58.737,58.152,58.247,1180052
3/7/2019,58.025,58.179,57.086,57.543,1504328
3/8/2019,56.695,57.673,56.51,57.499,1184732
3/11/2019,57.6,58.996,57.579,58.963,1501633
3/12/2019,59.115,60.286,59.115,59.863,2110979
3/13/2019,60.297,60.356,59.896,59.953,1294354
3/14/2019,59.951,60.235,59.562,59.627,1365072
3/15/2019,59.9,60.086,59.351,59.515,2593338
3/18/2019,59.485,59.748,59.074,59.428,1222203
3/19/2019,59.586,60.171,59.473,60.123,1489407
3/20/2019,60.07,61.5,59.979,61.322,2075442
3/21/2019,61,61.822,60.829,61.807,1407480
3/22/2019,61.442,61.682,60.3,60.383,1721133
3/25/2019,59.978,60.472,59.5,59.869,1378849
3/26/2019,60.26,60.383,59.088,59.492,1537606
3/27/2019,59.596,59.596,58.212,58.901,1471402
3/28/2019,58.775,58.863,58.172,58.614,1120122
3/29/2019,59.009,59.198,58.319,58.845,1544615
4/1/2019,59.377,60.01,59.318,59.949,1385595
4/2/2019,60.003,60.291,59.562,60.277,914413
4/3/2019,60.635,61.03,60.254,60.541,1109614
4/4/2019,60.564,61.027,60.452,60.973,1051089
4/5/2019,60.965,61.02,60.501,60.573,1001044
4/8/2019,60.555,60.698,60.235,60.414,1087588
4/9/2019,60.095,60.358,59.919,60.135,983840
4/10/2019,60.254,60.447,60.033,60.323,775456
4/11/2019,60.445,60.637,60.227,60.48,849947
4/12/2019,60.781,61.152,60.664,61.137,1215610
4/15/2019,61.204,61.465,60.728,61.327,1189974
4/16/2019,61.5,61.799,61.252,61.596,1131099
4/17/2019,61.85,62.255,61.645,62.007,1518286
4/18/2019,62.25,62.297,61.971,62.074,1237788
4/22/2019,61.834,62.717,61.668,62.688,954419
4/23/2019,62.832,63.722,62.599,63.53,1593449
4/24/2019,63.53,63.7,62.991,63.003,1169797
4/25/2019,63.515,63.64,62.9,63.367,1567161
4/26/2019,63.669,63.945,63.25,63.871,1361419
4/29/2019,64.026,64.849,63.586,64.81,3618362
4/30/2019,59.532,60.049,59.15,59.948,6658855
5/1/2019,59.875,59.963,58.584,58.666,3717018
5/2/2019,58.63,58.969,57.916,58.326,2254890
5/3/2019,58.871,59.57,58.678,59.478,2079376
5/6/2019,58.6,59.772,58.558,59.673,1588684
5/7/2019,59.291,59.739,58.25,58.943,1830238
5/8/2019,58.865,59.214,58.382,58.539,1276022
5/9/2019,58.13,58.703,57.732,58.399,1477752
5/10/2019,58.442,58.814,57.318,58.382,1582460
5/13/2019,57.262,57.599,56.275,56.83,2281686
5/14/2019,57.116,57.244,56.177,56.243,2019550
5/15/2019,56.128,58.915,56.07,58.54,2965117
5/16/2019,58.592,59.708,58.423,59.225,1765388
5/17/2019,58.792,59.315,58.321,58.439,1268050
5/20/2019,57.65,57.65,56.907,57.233,1530126
5/21/2019,57.724,57.9,57.165,57.722,1028248
5/22/2019,57.563,58.189,57.55,57.793,941279
5/23/2019,57.304,57.503,56.658,57.267,1260657
5/24/2019,57.6,57.718,56.836,56.931,927651
5/28/2019,57.074,57.825,56.934,56.978,1047554
5/29/2019,56.635,56.75,55.598,55.997,1811510
5/30/2019,56.008,56.34,55.795,56.071,904419
5/31/2019,55.282,55.67,55.168,55.325,1579481
6/3/2019,53.347,53.35,51.351,51.937,4844480
6/4/2019,52.225,52.922,51.802,52.725,3025564
6/5/2019,52.75,52.84,51.65,52.232,2349436
6/6/2019,52.311,52.5,51.775,52.388,1451026
6/7/2019,52.714,53.672,52.558,53.419,2191357
6/10/2019,53.85,54.742,53.764,54.138,1425464
6/11/2019,54.85,55.201,53.979,54.052,1675817
6/12/2019,53.998,54.126,53.48,53.955,1183650
6/13/2019,54.236,54.829,54.129,54.551,1040661
6/14/2019,54.487,54.738,54.074,54.315,1229304
6/17/2019,54.455,55.064,54.4,54.695,988491
