Date,Open,High,Low,Close,Volume
2010-01-04,15.722,15.786,15.654,15.717,3908400
2010-01-05,15.728,15.745,15.587,15.648,6003300
2010-01-06,15.695,15.695,15.206,15.254,7949400
2010-01-07,15.282,15.297,14.862,14.898,12815700
2010-01-08,14.846,15.128,14.773,15.097,9439100
2010-01-11,15.158,15.158,14.897,15.074,14411300
2010-01-12,14.998,15,14.746,14.808,9696800
2010-01-13,14.457,14.755,14.392,14.723,12980200
2010-01-14,14.643,14.901,14.615,14.792,8471700
2010-01-15,14.836,14.885,14.496,14.545,10858100
2010-01-19,14.582,14.806,14.452,14.736,8624700
2010-01-20,14.695,14.695,14.427,14.555,6494800
2010-01-21,14.631,14.716,14.351,14.62,12602700
2010-01-22,14.156,14.309,13.413,13.793,13587100
2010-01-25,13.707,13.79,13.429,13.542,8830900
2010-01-26,13.491,13.783,13.449,13.602,8702200
2010-01-27,13.574,13.734,13.424,13.594,7920800
2010-01-28,13.654,13.717,13.306,13.399,6451700
2010-01-29,13.504,13.567,13.181,13.29,8272700
2010-02-01,13.406,13.437,13.299,13.367,4497000
2010-02-02,13.415,13.415,13.231,13.319,8184200
2010-02-03,13.258,13.594,13.247,13.562,5992200
2010-02-04,13.467,13.492,13.18,13.21,6748600
2010-02-05,13.251,13.379,13.102,13.323,6305600
2010-02-08,13.354,13.592,13.329,13.378,5383200
2010-02-09,13.53,13.58,13.418,13.453,5633500
2010-02-10,13.393,13.486,13.233,13.402,5343600
2010-02-11,13.347,13.554,13.278,13.452,4815100
2010-02-12,13.366,13.47,13.304,13.369,4554800
2010-02-16,13.47,13.645,13.399,13.574,7301400
2010-02-17,13.592,13.627,13.482,13.497,4055300
2010-02-18,13.48,13.667,13.445,13.623,4669100
2010-02-19,13.567,13.643,13.534,13.561,5101000
2010-02-22,13.726,13.73,13.567,13.612,4284900
2010-02-23,13.617,13.633,13.348,13.418,5739400
2010-02-24,13.401,13.503,13.304,13.328,4648500
2010-02-25,13.219,13.253,13.04,13.202,6611700
2010-02-26,13.226,13.335,13.128,13.211,4094500
2010-03-01,13.271,13.374,13.234,13.358,4471300
2010-03-02,13.428,13.684,13.417,13.568,8704800
2010-03-03,13.601,13.745,13.523,13.675,6172600
2010-03-04,13.705,13.946,13.697,13.908,6361200
2010-03-05,14.077,14.236,14.041,14.149,7816500
2010-03-08,14.163,14.173,14.069,14.106,4768000
2010-03-09,14.04,14.16,13.956,14.048,6346800
2010-03-10,14.138,14.507,14.099,14.456,11298400
2010-03-11,14.401,14.701,14.399,14.573,8458100
2010-03-12,14.749,14.752,14.524,14.533,5501200
2010-03-15,14.211,14.28,13.943,14.123,9298400
2010-03-16,14.089,14.255,14.062,14.174,6856100
2010-03-17,14.251,14.33,14.15,14.183,6636500
2010-03-18,14.162,14.255,14.118,14.204,3550800
2010-03-19,14.2,14.244,13.975,14.043,9578800
2010-03-22,13.946,14.215,13.9,13.981,8001500
2010-03-23,13.969,14.001,13.592,13.767,10991500
2010-03-24,13.68,14.04,13.534,13.976,13117200
2010-03-25,14.055,14.344,14.01,14.116,7853900
2010-03-26,14.176,14.229,14.044,14.111,5387000
2010-03-29,14.119,14.162,14.058,14.105,6202700
2010-03-30,14.114,14.235,14.05,14.212,3951800
2010-03-31,14.17,14.288,14.114,14.222,6055500
2010-04-01,14.328,14.381,14.183,14.264,4201100
2010-04-05,14.317,14.417,14.269,14.319,3799100
2010-04-06,14.281,14.316,14.179,14.249,4116000
2010-04-07,14.226,14.263,14.09,14.132,5156800
2010-04-08,14.127,14.29,14.045,14.231,3891100
2010-04-09,14.244,14.263,14.144,14.199,4109000
2010-04-12,14.228,14.394,14.199,14.363,4700000
2010-04-13,14.358,14.768,14.322,14.715,7816700
2010-04-14,14.797,14.854,14.645,14.771,6798500
2010-04-15,14.85,14.992,14.753,14.929,13510000
2010-04-16,14.119,14.264,13.783,13.796,24446500
2010-04-19,13.761,13.893,13.667,13.795,7780200
2010-04-20,13.897,14.035,13.819,13.919,5948800
2010-04-21,13.955,14.05,13.847,13.9,4778200
2010-04-22,13.843,13.855,13.626,13.719,6554800
2010-04-23,13.724,13.776,13.599,13.667,4174600
2010-04-26,13.666,13.667,13.271,13.332,8728800
2010-04-27,13.264,13.5,13.222,13.267,7681700
2010-04-28,13.344,13.412,13.066,13.271,6805300
2010-04-29,13.376,13.454,13.208,13.341,6111600
2010-04-30,13.319,13.484,13.177,13.183,4865900
2010-05-03,13.203,13.364,13.168,13.306,3711800
2010-05-04,13.204,13.209,12.644,12.698,12140400
2010-05-05,12.563,12.933,12.55,12.783,9155200
2010-05-06,12.758,12.978,11.536,12.505,9990100
2010-05-07,12.538,12.672,12.071,12.367,10167800
2010-05-10,12.889,13.111,12.855,13.082,8247700
2010-05-11,12.932,13.037,12.745,12.766,6638500
2010-05-12,12.841,12.841,12.589,12.674,7695800
2010-05-13,12.952,13.09,12.799,12.812,6644900
2010-05-14,12.784,12.814,12.445,12.728,8223700
2010-05-17,12.709,12.748,12.497,12.739,5582000
2010-05-18,12.789,12.814,12.465,12.498,5645300
2010-05-19,12.445,12.525,12.231,12.399,6884500
2010-05-20,12.164,12.177,11.882,11.912,9816700
2010-05-21,11.763,12.163,11.646,11.838,19362200
2010-05-24,12.055,12.283,11.957,11.966,8682500
2010-05-25,11.74,11.973,11.636,11.964,6028700
2010-05-26,12.089,12.282,11.912,11.924,6944200
2010-05-27,12.159,12.346,12.063,12.299,5612500
2010-05-28,12.357,12.374,12.112,12.178,5783800
2010-06-01,12.048,12.315,12.04,12.097,5328200
2010-06-02,12.205,12.385,12.074,12.372,5076500
2010-06-03,12.416,12.739,12.406,12.679,7294000
2010-06-04,12.532,12.771,12.456,12.507,7832700
2010-06-07,12.515,12.562,12.116,12.176,7258100
2010-06-08,12.234,12.259,11.975,12.157,5364800
2010-06-09,12.218,12.26,11.837,11.887,5452500
2010-06-10,12.046,12.25,11.933,12.213,5150600
2010-06-11,12.1,12.256,12.078,12.25,3559800
2010-06-14,12.4,12.401,12.117,12.117,4076700
2010-06-15,12.114,12.549,12.092,12.488,8510600
2010-06-16,12.443,12.639,12.441,12.571,4574000
2010-06-17,12.625,12.686,12.456,12.541,3950600
2010-06-18,12.602,12.626,12.492,12.539,5740000
2010-06-21,12.536,12.563,12.16,12.252,5961000
2010-06-22,12.285,12.453,12.181,12.194,4434900
2010-06-23,12.21,12.21,11.991,12.089,4054100
2010-06-24,12.029,12.106,11.868,11.914,3783400
2010-06-25,11.963,11.978,11.8,11.854,4485900
2010-06-28,11.851,11.976,11.762,11.839,3521000
2010-06-29,11.622,11.65,11.313,11.392,6997100
2010-06-30,11.409,11.481,11.152,11.158,7199100
2010-07-01,11.167,11.245,10.874,11.021,7020100
2010-07-02,11.075,11.091,10.934,10.948,3868100
2010-07-06,11.134,11.226,10.874,10.936,5115000
2010-07-07,10.992,11.317,10.918,11.29,6253100
2010-07-08,11.374,11.469,11.276,11.449,5332400
2010-07-09,11.836,11.868,11.605,11.723,8654300
2010-07-12,11.846,12.023,11.813,11.933,6662100
2010-07-13,12.094,12.363,12.044,12.268,7944600
2010-07-14,12.285,12.384,12.199,12.321,6229700
2010-07-15,12.331,12.406,12.104,12.389,9706600
2010-07-16,11.764,11.8,11.524,11.526,15633900
2010-07-19,11.561,11.778,11.473,11.691,9091400
2010-07-20,11.561,12.112,11.551,12.077,8100800
2010-07-21,12.137,12.18,11.923,11.974,6552600
2010-07-22,12.118,12.262,12.099,12.158,4291100
2010-07-23,12.056,12.303,12.037,12.289,4524200
2010-07-26,12.265,12.307,12.16,12.262,3986400
2010-07-27,12.302,12.476,12.292,12.354,4897400
2010-07-28,12.412,12.42,12.104,12.146,4987000
2010-07-29,12.186,12.26,12.02,12.162,5345600
2010-07-30,12.028,12.222,12.016,12.159,4283900
2010-08-02,12.263,12.37,12.211,12.298,3713600
2010-08-03,12.3,12.35,12.207,12.284,3600900
2010-08-04,12.343,12.714,12.314,12.697,7617300
2010-08-05,12.686,12.754,12.628,12.742,4835900
2010-08-06,12.674,12.683,12.44,12.544,6632300
2010-08-09,12.595,12.677,12.573,12.673,3740600
2010-08-10,12.598,12.689,12.503,12.632,4143800
2010-08-11,12.482,12.489,12.326,12.332,4441500
2010-08-12,12.136,12.407,12.1,12.338,4404700
2010-08-13,12.263,12.318,12.188,12.196,3865500
2010-08-16,12.129,12.285,12.05,12.177,2607300
2010-08-17,12.251,12.406,12.188,12.301,3777600
2010-08-18,12.299,12.31,12.076,12.091,5367400
2010-08-19,12.062,12.1,11.717,11.735,7842100
2010-08-20,11.735,11.826,11.561,11.586,7827300
2010-08-23,11.573,11.742,11.479,11.638,5966400
2010-08-24,11.478,11.495,11.308,11.32,5519800
2010-08-25,11.285,11.481,11.285,11.401,5179000
2010-08-26,11.437,11.467,11.296,11.309,3550400
2010-08-27,11.349,11.535,11.226,11.506,4620100
2010-08-30,11.514,11.53,11.346,11.352,2460300
2010-08-31,11.288,11.407,11.235,11.285,3889700
2010-09-01,11.41,11.659,11.348,11.544,6450100
2010-09-02,11.607,11.647,11.543,11.615,3365000
2010-09-03,11.799,11.834,11.722,11.794,5075700
2010-09-07,11.648,11.726,11.611,11.646,3416300
2010-09-08,11.666,11.849,11.649,11.801,4798700
2010-09-09,11.983,12.047,11.801,11.941,4856300
2010-09-10,12.013,12.032,11.914,11.94,3944600
2010-09-13,12.06,12.146,12.025,12.094,4478500
2010-09-14,12.088,12.156,12.039,12.048,4428500
2010-09-15,12.036,12.085,12,12.053,4800700
2010-09-16,12.036,12.099,12.022,12.064,3935000
2010-09-17,12.131,12.318,12.067,12.292,11271900
2010-09-20,12.351,12.8,12.34,12.746,8798100
2010-09-21,12.781,13.04,12.762,12.876,8923600
2010-09-22,12.861,12.985,12.832,12.94,5069100
2010-09-23,12.905,13.032,12.822,12.877,4630100
2010-09-24,13.084,13.237,12.997,13.223,6707000
2010-09-27,13.262,13.463,13.262,13.301,6208500
2010-09-28,13.378,13.381,13.001,13.22,7302000
2010-09-29,13.237,13.365,13.158,13.233,4340000
2010-09-30,13.27,13.338,13.013,13.185,6481700
2010-10-01,13.291,13.307,13.115,13.181,4445500
2010-10-04,13.164,13.247,13.011,13.099,3877100
2010-10-05,13.25,13.542,13.205,13.497,7007100
2010-10-06,13.523,13.541,13.29,13.4,5519000
2010-10-07,13.447,13.472,13.269,13.291,4786800
2010-10-08,13.36,13.482,13.231,13.45,5712600
2010-10-11,13.504,13.657,13.471,13.513,5247300
2010-10-12,13.545,13.692,13.486,13.577,7499600
2010-10-13,13.717,13.73,13.6,13.625,6105000
