Date,Open,High,Low,Close,Volume
2010-01-04,6.444,6.476,6.412,6.461,17633200
2010-01-05,6.479,6.509,6.438,6.473,21496600
2010-01-06,6.473,6.498,6.363,6.37,19720000
2010-01-07,6.393,6.401,6.312,6.358,17040400
2010-01-08,6.349,6.401,6.312,6.4,15986100
2010-01-11,6.425,6.431,6.293,6.344,16508200
2010-01-12,6.316,6.333,6.232,6.271,21230700
2010-01-13,6.276,6.368,6.162,6.36,21639000
2010-01-14,6.344,6.354,6.311,6.323,15460500
2010-01-15,6.368,6.389,6.216,6.217,21216700
2010-01-19,6.29,6.497,6.257,6.492,26071700
2010-01-20,6.489,6.508,6.325,6.392,21862600
2010-01-21,6.403,6.44,6.256,6.282,21719800
2010-01-22,6.243,6.265,5.953,5.97,31491700
2010-01-25,6.114,6.18,6.044,6.131,38060700
2010-01-26,6.218,6.452,6.116,6.218,66682500
2010-01-27,6.245,6.358,6.024,6.276,61520300
2010-01-28,6.187,6.204,5.999,6.017,41910800
2010-01-29,6.071,6.105,5.744,5.799,44498300
2010-02-01,5.808,5.918,5.776,5.879,26781300
2010-02-02,5.915,5.927,5.838,5.913,24940800
2010-02-03,5.893,6.044,5.87,6.015,21976000
2010-02-04,5.94,5.989,5.784,5.798,27059000
2010-02-05,5.816,5.918,5.762,5.901,30368100
2010-02-08,5.908,5.974,5.857,5.861,17081100
2010-02-09,5.93,5.963,5.88,5.923,22603100
2010-02-10,5.914,5.936,5.865,5.891,13227200
2010-02-11,5.884,6.031,5.859,5.998,19655200
2010-02-12,5.981,6.088,5.902,6.05,23409600
2010-02-16,6.097,6.15,6.084,6.141,19419200
2010-02-17,6.165,6.168,6.064,6.115,15585600
2010-02-18,6.088,6.156,6.066,6.127,15100900
2010-02-19,6.095,6.135,6.072,6.089,14838200
2010-02-22,6.109,6.114,6.014,6.051,13948700
2010-02-23,6.038,6.079,5.909,5.95,20539100
2010-02-24,5.985,6.082,5.973,6.058,16448800
2010-02-25,5.959,6.125,5.944,6.099,23754500
2010-02-26,6.11,6.194,6.099,6.178,18123600
2010-03-01,6.212,6.325,6.203,6.31,19646200
2010-03-02,6.338,6.365,6.272,6.306,20233800
2010-03-03,6.308,6.336,6.278,6.32,13287600
2010-03-04,6.319,6.368,6.299,6.362,13072900
2010-03-05,6.489,6.633,6.48,6.61,32129300
2010-03-08,6.642,6.645,6.589,6.614,15353200
2010-03-09,6.591,6.793,6.578,6.733,32866400
2010-03-10,6.758,6.808,6.739,6.788,21293500
2010-03-11,6.76,6.808,6.742,6.808,14489300
2010-03-12,6.865,6.876,6.816,6.841,14868700
2010-03-15,6.805,6.808,6.65,6.758,17625100
2010-03-16,6.768,6.793,6.718,6.777,15961000
2010-03-17,6.79,6.837,6.741,6.767,16105600
2010-03-18,6.766,6.793,6.721,6.783,12218200
2010-03-19,6.787,6.8,6.679,6.71,19980200
2010-03-22,6.656,6.823,6.647,6.786,16300700
2010-03-23,6.812,6.907,6.766,6.895,21515400
2010-03-24,6.873,6.95,6.869,6.925,21349300
2010-03-25,6.958,6.973,6.831,6.843,19367300
2010-03-26,6.912,7.003,6.9,6.971,22888400
2010-03-29,7.035,7.061,6.993,7.016,19312300
2010-03-30,7.143,7.17,7.072,7.121,18832500
2010-03-31,7.11,7.144,7.079,7.095,15380700
2010-04-01,7.17,7.208,7.027,7.124,21540900
2010-04-05,7.094,7.201,7.088,7.2,24446700
2010-04-06,7.192,7.253,7.155,7.232,15964900
2010-04-07,7.238,7.304,7.206,7.264,22446500
2010-04-08,7.259,7.293,7.187,7.245,20463900
2010-04-09,7.289,7.303,7.26,7.3,11935100
2010-04-12,7.312,7.339,7.301,7.315,11893800
2010-04-13,7.302,7.331,7.28,7.319,10936100
2010-04-14,7.405,7.421,7.369,7.418,14431300
2010-04-15,7.421,7.519,7.412,7.515,13456600
2010-04-16,7.505,7.582,7.383,7.469,26805200
2010-04-19,7.458,7.484,7.299,7.459,20247300
2010-04-20,7.504,7.525,7.335,7.385,26368800
2010-04-21,7.814,7.857,7.721,7.826,35085400
2010-04-22,7.797,8.054,7.735,8.045,28336600
