Date,Open,High,Low,Close,Volume
1999-11-01,16.079,16.251,15.94,16.172,4018200
1999-11-02,16.189,16.391,16.002,16.017,3909800
1999-11-03,16.142,16.142,15.69,15.705,4876700
1999-11-04,15.925,16.079,15.83,15.83,5136800
1999-11-05,16.329,16.67,16.204,16.219,4981800
1999-11-08,16.314,16.703,16.266,16.453,3555500
1999-11-09,16.53,16.563,15.8,15.94,4434000
1999-11-10,15.768,16.157,15.658,15.955,4485800
1999-11-11,15.955,15.955,15.581,15.705,3173400
1999-11-12,15.83,16.655,15.83,16.578,4980800
1999-11-15,16.468,16.563,16.344,16.391,4167200
1999-11-16,16.468,16.827,16.421,16.827,5426300
1999-11-17,16.67,16.732,16.483,16.593,3513500
1999-11-18,16.578,16.688,16.266,16.296,4635800
1999-11-19,16.314,16.483,16.157,16.234,2960100
1999-11-22,16.047,16.127,15.907,16.017,4653100
1999-11-23,15.862,15.925,15.503,15.613,3817000
1999-11-24,15.269,15.346,14.895,14.957,6184300
1999-11-26,14.943,15.301,14.91,15.082,2333300
1999-11-29,14.99,15.005,14.038,14.195,7984500
1999-11-30,14.334,14.833,14.319,14.611,7492700
1999-12-01,14.365,14.835,14.365,14.554,4690100
1999-12-02,14.428,14.632,13.955,14.176,6197800
1999-12-03,14.428,14.647,14.365,14.443,7211900
1999-12-06,14.114,14.302,13.704,13.915,6910000
1999-12-07,13.782,13.814,13.138,13.201,10122600
1999-12-08,12.605,12.964,12.605,12.746,10318900
1999-12-09,12.809,12.902,12.321,12.809,9630000
1999-12-10,13.075,13.704,13.075,13.485,8036500
1999-12-13,13.327,13.359,13.075,13.236,5364200
1999-12-14,13.075,13.138,12.731,12.856,5939200
1999-12-15,12.839,12.949,12.494,12.738,7240200
1999-12-16,12.557,12.683,12.273,12.62,8177400
1999-12-17,12.572,12.683,12.165,12.258,12621200
1999-12-20,12.306,12.479,12.054,12.069,6203500
1999-12-21,12.022,12.839,11.976,12.399,7993100
1999-12-22,12.447,12.605,12.18,12.195,6098100
1999-12-23,12.369,12.447,12.353,12.416,5265000
1999-12-27,12.509,12.731,12.321,12.321,5414500
1999-12-28,12.336,12.494,12.321,12.399,3632700
1999-12-29,12.447,12.635,12.369,12.542,4057600
1999-12-30,12.572,12.794,12.509,12.746,3368100
1999-12-31,12.713,12.809,12.572,12.62,2643800
2000-01-03,12.635,12.635,12.069,12.18,6852900
2000-01-04,12.006,12.054,11.3,11.456,13646700
2000-01-05,11.33,11.677,11.189,11.582,11427800
2000-01-06,11.803,12.572,11.755,12.572,8653500
