Date,Open,High,Low,Close,Volume
2021-01-04,216.125,217.584,209.593,212.403,37130139
2021-01-05,211.983,213.213,210.461,212.708,23822953
2021-01-06,207.017,211.232,206.492,207.095,35930653
2021-01-07,208.841,214.013,208.219,212.988,27694480
2021-01-08,213.369,215.223,211.755,214.586,22956206
2021-01-11,213.164,213.723,211.466,212.208,23047029
2021-01-12,211.242,211.827,208.139,209.51,23148341
2021-01-13,208.822,211.495,207.731,211.086,20087080
2021-01-14,210.666,212.178,207.573,208.846,29346737
2021-01-15,208.534,209.3,206.88,207.485,31646512
2021-01-19,209.558,211.71,207.466,211.183,30380859
2021-01-20,212.413,220.306,212.013,218.591,37277260
2021-01-21,219.243,220.804,217.418,219.506,30649553
2021-01-22,221.465,224.482,220.316,220.612,31172663
2021-01-25,223.678,224.199,218.774,224.355,32152095
2021-01-26,226.229,228.492,224.492,227.387,48169601
2021-01-27,232.22,234.6,224.55,227.643,67840638
2021-01-28,229.818,236.047,229.38,233.127,49001159
2021-01-29,230.258,232.238,425.531,226.326,42403138
2021-02-01,229.351,236.61,226.785,232.829,33314193
2021-02-02,235.439,236.625,232.493,233.693,26679356
2021-02-03,233.761,239.137,233.349,237.098,27858104
2021-02-04,236.766,237.332,234.412,236.192,25496100
2021-02-05,236.447,237.371,234.581,236.418,18154752
2021-02-08,237.244,237.762,234.961,235.581,22611929
2021-02-09,235.888,238.815,235.417,237.849,23771475
2021-02-10,239.049,239.947,235.039,237.922,22317240
2021-02-11,238.835,239.496,236.269,238.252,15951059
2021-02-12,237.019,239.342,236.835,239.04,16461079
2021-02-16,239.079,240.152,237.02,237.981,27728487
2021-02-17,235.999,238.923,235.117,238.815,21651617
2021-02-18,236.468,239.331,235.599,238.414,16825563
2021-02-19,238.375,238.483,234.884,235.452,25062600
2021-02-22,232.185,232.684,227.666,229.339,37182764
2021-02-23,225.246,229.652,223.686,227.126,31228704
2021-02-24,224.938,230.014,223.95,228.378,26839746
2021-02-25,226.963,228.413,222.855,223.941,38118089
2021-02-26,226.42,230.18,224.779,227.756,37045055
2021-03-01,230.698,232.034,228.119,231.715,25132837
2021-03-02,231.784,232.067,228.302,228.777,22912459
2021-03-03,227.036,228.429,222.249,223.542,32929526
2021-03-04,221.735,226.399,219.315,221.731,44227785
2021-03-05,224.456,228.126,221.466,225.493,41772770
2021-03-08,226.268,228.219,222.122,223.376,35367440
2021-03-09,227.745,230.194,226.562,228.000,33180531
2021-03-10,231.774,231.777,226.923,227.888,28946812
2021-03-11,229.779,233.896,229.003,231.661,29507555
2021-03-12,228.85,230.62,228.087,230.112,22853662
2021-03-15,229.779,229.999,227.499,229.632,26142669
2021-03-16,231.07,234.552,230.557,232.558,28292196
2021-03-17,230.943,233.25,228.187,231.813,29462100
2021-03-18,227.332,229.026,225.151,225.633,34352251
2021-03-19,225.926,227.228,224.292,225.331,46130730
2021-03-22,225.192,231.676,225.065,229.786,30327005
2021-03-23,232.248,234.735,231.773,232.341,31368376
2021-03-24,232.6,232.752,230.031,230.168,25260127
2021-03-25,230.112,231.715,226.464,227.917,34611853
2021-03-26,226.444,232.49,226.344,231.266,25779853
2021-03-29,231.373,231.579,226.767,229.053,26224455
2021-03-30,228.376,228.694,226.004,226.538,24494412
2021-03-31,227.774,233.828,227.266,229.571,43323471
2021-04-01,233.212,237.485,232.801,236.006,30237982
2021-04-05,237.407,244.448,236.648,243.578,35910609
2021-04-06,242.15,243.901,241.436,242.695,22731923
2021-04-07,242.346,245.397,240.739,244.39,22609835
2021-04-08,247.196,248.535,246.443,247.966,23525197
