Date,Open,Close,High,Low,Volume
2018-09-18,185.00,187.00,190.00,185.00,1000
2018-09-19,187.60,185.64,188.00,185.20,758
2018-09-20,190.00,187.22,190.20,186.40,231
2018-09-21,188.20,186.20,188.55,186.20,290
2018-09-24,186.20,187.07,189.87,183.60,632
2018-09-25,187.40,188.33,188.90,186.80,400
2018-09-26,189.00,190.80,190.80,188.61,890
2018-09-27,190.00,193.27,193.60,185.02,474
2018-09-28,193.20,194.20,195.20,192.80,679
2018-10-01,195.40,197.11,198.00,195.40,777
2018-10-02,196.00,196.67,198.20,195.80,444
2018-10-03,200.00,203.28,204.00,195.69,1054
2018-10-04,202.00,198.32,202.10,196.40,666
2018-10-05,199.00,194.71,199.00,194.60,888
2018-10-08,187.40,192.99,195.20,187.25,510
2018-10-09,195.40,198.00,199.30,194.20,296
2018-10-10,198.20,193.18,198.55,191.60,555
2018-10-11,193.20,184.12,193.47,183.00,1111
2018-10-12,190.00,192.20,197.54,188.60,601
2018-10-15,185.50,190.73,192.40,185.40,333
2018-10-16,189.20,188.77,189.99,187.80,222
2018-10-17,189.80,192.60,194.20,189.40,999
2018-10-18,193.80,189.40,196.15,189.30,277
2018-10-19,190.20,192.00,192.00,190.09,187
2018-10-22,193.00,197.53,197.90,188.91,665
2018-10-23,195.00,188.88,195.40,187.60,279
2018-10-24,192.20,193.44,197.20,191.13,1459
2018-10-25,193.20,191.80,193.33,187.40,1301
2018-10-26,190.20,188.27,191.40,185.87,1049
2018-10-29,192.19,193.20,193.20,191.65,221
2018-10-30,189.45,193.91,194.20,185.72,316
2018-10-31,193.01,193.13,197.00,190.86,1111
2018-11-01,193.80,194.00,196.80,189.29,1346
2018-11-02,192.02,182.65,193.00,181.11,2752
2018-11-05,182.80,177.27,183.80,175.20,671
2018-11-06,176.00,177.72,178.60,175.45,416
2018-11-07,178.20,181.41,182.57,178.20,527
2018-11-08,182.60,183.20,184.80,180.60,842
2018-11-09,181.60,179.35,182.24,179.00,122
2018-11-12,181.40,174.40,181.96,171.08,409
2018-11-13,174.04,177.03,177.68,169.20,777
2018-11-14,172.00,167.40,173.00,166.40,801
2018-11-15,166.40,171.93,172.60,165.34,1084
2018-11-16,168.40,169.22,171.12,167.06,312
2018-11-19,169.80,164.51,171.40,163.40,363
2018-11-20,160.40,158.18,161.20,155.21,1082
