Date,Open,High,Low,Close,Volume
1999-11-01,27.184,27.341,26.164,26.224,4510867
1999-11-02,26.519,27.068,26.126,26.264,3541600
1999-11-03,26.242,26.362,25.794,25.872,2648800
1999-11-04,26.324,26.971,26.205,26.399,3869600
1999-11-05,27.03,27.422,26.87,27.068,3433267
1999-11-08,27.087,27.184,26.399,26.481,2393600
1999-11-09,26.459,26.578,25.734,26.067,3235267
1999-11-10,25.753,25.812,25.282,25.282,3180067
1999-11-11,25.361,25.929,25.204,25.458,2292867
1999-11-12,25.91,26.676,25.891,26.676,3423267
1999-11-15,26.381,26.616,25.891,25.91,3742000
1999-11-16,26.164,27.127,26.01,26.989,4490200
1999-11-17,26.694,26.735,25.618,25.693,3606800
1999-11-18,25.853,26.399,25.715,26.164,3071600
1999-11-19,26.205,26.481,25.891,26.048,1998867
1999-11-22,25.891,25.91,25.323,25.693,2514267
1999-11-23,25.693,25.812,24.949,25.088,3029267
1999-11-24,25.028,25.088,24.714,24.968,2521400
1999-11-26,25.383,25.383,24.811,24.811,794200
1999-11-29,24.733,24.733,23.948,24.146,3480867
1999-11-30,24.046,24.871,24.027,24.243,4031467
1999-12-01,24.206,24.479,24.027,24.287,3046200
1999-12-02,24.479,24.871,23.851,24.811,3261800
1999-12-03,25.401,26.164,25.361,25.734,3844467
1999-12-06,25.734,25.734,24.281,24.752,3321667
1999-12-07,24.636,24.852,24.281,24.676,3702400
1999-12-08,24.598,24.676,24.127,24.391,3171400
1999-12-09,24.479,24.912,23.87,24.441,3158800
1999-12-10,24.987,24.987,24.516,24.774,3209067
1999-12-13,24.516,24.871,24.4,24.645,1701867
1999-12-14,24.498,24.498,23.87,24.027,2228000
1999-12-15,24.027,24.281,23.459,23.694,3057600
1999-12-16,23.911,23.911,23.164,23.537,2703400
1999-12-17,22.988,23.5,22.615,22.831,6655667
1999-12-20,23.029,23.205,22.674,22.674,4137067
1999-12-21,22.715,24.008,22.633,23.537,5240000
1999-12-22,23.537,23.735,23.223,23.5,2252267
1999-12-23,23.93,24.46,23.87,24.322,2891600
1999-12-27,24.322,24.852,24.008,24.008,2541200
1999-12-28,24.068,24.281,23.948,23.989,1502200
1999-12-29,24.225,24.538,24.146,24.341,1533467
1999-12-30,24.341,24.695,24.086,24.498,1277400
1999-12-31,24.479,24.598,24.381,24.381,773600
2000-01-03,23.459,23.656,22.633,22.869,8012800
2000-01-04,22.291,22.471,21.839,22.373,7815600
2000-01-05,22.174,22.903,21.78,22.234,5809667
2000-01-06,22.133,23.023,22.016,22.55,5579467
2000-01-07,22.925,23.2,22.411,22.963,4381267
2000-01-10,22.963,23.162,22.569,22.569,3149000
2000-01-11,22.095,22.234,21.543,22.035,5603667
2000-01-12,21.997,22.373,21.937,22.174,4847867
2000-01-13,22.452,22.884,22.272,22.509,4612600
2000-01-14,23.339,23.91,22.982,23.32,6487867
2000-01-18,23.339,23.516,22.174,22.411,3531067
2000-01-19,22.805,23.793,22.805,23.399,10489800
2000-01-20,23.793,23.989,22.963,23.377,5180200
2000-01-21,23.32,23.358,22.925,23.023,3440400
2000-01-24,23.475,23.534,22.786,23.042,4306067
2000-01-25,23.042,23.91,23.042,23.553,5053267
2000-01-26,23.793,24.936,23.673,24.759,5591067
2000-01-27,25.075,25.725,24.797,25.469,5443867
2000-01-28,25.113,25.113,24.185,24.207,5000000
2000-01-31,24.245,25.725,24.245,25.469,4773467
2000-02-01,26.022,26.672,25.665,26.435,6434000
2000-02-02,26.199,26.574,25.687,26.003,4750800
2000-02-03,26.356,26.789,25.331,26.259,6133467
2000-02-04,26.041,26.296,25.744,25.804,3410067
2000-02-07,25.943,26.315,25.804,25.943,3122800
2000-02-08,26.533,27.186,26.514,26.849,4212400
2000-02-09,26.811,27.262,26.022,26.161,6545667
2000-02-10,26.24,26.435,25.687,26.24,4587000
2000-02-11,26.277,26.83,25.883,26.079,4701667
2000-02-14,25.962,26.337,24.955,24.955,3936467
2000-02-15,25.271,26.041,25.132,25.586,5977000
2000-02-16,25.567,25.943,24.936,25.094,3219800
2000-02-17,25.447,25.725,24.56,24.74,3810800
2000-02-18,24.639,24.797,23.534,23.594,5414200
2000-02-22,23.989,24.895,23.711,24.384,4712400
2000-02-23,24.421,24.996,24.166,24.421,2968600
2000-02-24,24.384,24.481,23.553,23.989,3466600
2000-02-25,24.185,24.857,23.635,23.948,3096200
2000-02-28,24.226,25.331,24.109,24.601,4034000
2000-02-29,24.522,25.567,24.522,25.132,4111267
2000-03-01,25.214,25.883,24.895,25.883,3244200
2000-03-02,25.409,25.605,25.173,25.428,2389200
2000-03-03,25.883,26.003,25.056,25.605,3987600
2000-03-06,26.18,26.634,25.962,26.337,3794267
2000-03-07,26.337,26.574,25.567,25.823,3044600
2000-03-08,25.488,25.706,24.819,24.936,3498467
2000-03-09,24.857,25.646,24.639,25.605,2653000
2000-03-10,25.252,25.744,24.541,24.838,3540867
2000-03-13,24.5,25.627,24.346,25.271,3148867
2000-03-14,25.409,25.548,24.778,24.936,2753067
2000-03-15,24.582,26.574,24.365,26.24,5907800
2000-03-16,26.811,28.528,26.574,28.446,10423267
2000-03-17,28.171,29.118,27.935,28.724,7926067
2000-03-20,28.408,28.566,26.672,27.322,5384067
2000-03-21,27.284,29.197,26.988,29.039,5563667
2000-03-22,28.607,29.08,28.013,28.9,5736067
2000-03-23,28.724,31.309,28.705,31.091,6954267
2000-03-24,30.618,31.801,30.302,30.362,6326000
2000-03-27,30.302,30.577,29.532,29.888,3219267
2000-03-28,29.592,30.223,29.393,29.75,4883800
2000-03-29,29.75,29.828,28.19,28.528,6058867
2000-03-30,28.231,28.645,27.127,27.461,5344800
2000-03-31,27.777,27.897,27.145,27.521,4536667
2000-04-03,27.758,29.355,27.717,29.197,5673000
2000-04-04,29.041,29.162,26.343,27.534,8425800
2000-04-05,26.74,27.594,26.74,27.413,4873800
2000-04-06,27.613,28.01,27.553,27.753,3235600
2000-04-07,28.01,28.01,27.296,27.413,3276067
2000-04-10,27.137,28.267,27.016,27.969,5243267
2000-04-11,27.613,27.889,26.978,27.296,5478067
2000-04-12,27.911,28.864,27.454,27.553,6088867
2000-04-13,27.296,27.534,26.74,26.82,4520667
2000-04-14,26.026,26.147,24.042,25.033,8723000
2000-04-17,24.598,25.214,23.785,24.956,5805800
2000-04-18,24.836,25.69,24.776,25.55,4555600
2000-04-19,25.629,25.709,24.004,24.757,6038067
2000-04-20,24.795,24.817,24.201,24.538,3027067
2000-04-24,24.122,24.261,23.627,23.725,5195200
2000-04-25,24.042,24.934,23.884,24.776,4218067
2000-04-26,24.995,24.995,24.182,24.261,3667000
2000-04-27,23.842,23.963,23.268,23.449,6198800
2000-04-28,23.566,23.706,22.773,22.89,5735467
2000-05-01,23.011,23.925,22.713,23.408,5626467
2000-05-02,23.427,24.439,23.29,24.16,5607467
2000-05-03,23.865,24.36,23.566,23.566,6213667
2000-05-04,23.842,23.944,23.128,23.249,4114800
2000-05-05,22.852,23.09,22.376,22.912,9670067
2000-05-08,22.732,23.23,22.633,22.852,3665067
2000-05-09,22.932,23.071,22.497,22.497,4252000
2000-05-10,22.436,22.436,21.821,21.821,4410667
2000-05-11,22.236,22.436,21.741,22.217,5235400
2000-05-12,21.938,23.128,21.624,22.732,8147867
2000-05-15,23.09,23.865,22.871,23.684,4468800
2000-05-16,24.319,24.341,23.389,23.566,5283400
2000-05-17,23.249,23.785,23.189,23.487,2900400
2000-05-18,23.408,24.242,23.408,23.842,3437467
2000-05-19,23.684,23.785,22.932,23.011,3409667
2000-05-22,23.249,23.249,22.376,22.912,2776400
2000-05-23,22.833,23.665,22.833,23.208,3472467
2000-05-24,23.011,23.309,22.376,22.732,5715400
2000-05-25,22.852,23.408,22.138,22.297,5147600
2000-05-26,22.338,22.614,22.021,22.376,4109267
2000-05-30,22.732,23.328,22.576,23.328,2798467
2000-05-31,23.17,23.925,23.17,23.706,3322067
2000-06-01,24.08,24.836,23.944,24.48,5853067
2000-06-02,26.147,26.147,25.391,25.61,5911600
2000-06-05,25.55,25.747,25.153,25.195,3260267
2000-06-06,25.195,25.195,24.28,24.439,3697867
2000-06-07,24.579,24.896,24.319,24.401,3934067
2000-06-08,24.658,24.658,23.925,24.28,2650067
2000-06-09,24.439,24.956,22.652,23.268,6863267
2000-06-12,23.509,23.685,22.943,23.133,3428400
2000-06-13,23.033,23.09,22.671,22.943,5649900
2000-06-14,23.271,23.985,22.971,23.833,5920600
2000-06-15,23.714,23.747,22.195,23.238,9911800
2000-06-16,22.257,22.348,21.005,21.633,16619900
2000-06-19,21.605,22.557,21.481,22.319,7731000
2000-06-20,22.852,23.119,22.614,22.824,5643600
2000-06-21,22.705,22.824,22.081,22.376,4059300
