Date,Open,High,Low,Close,Volume
2010-01-04,23.181,23.545,23.158,23.431,38409100
2010-01-05,23.355,23.545,23.196,23.439,49749600
2010-01-06,23.378,23.529,23.105,23.295,58182400
2010-01-07,23.189,23.242,22.856,23.054,50559700
2010-01-08,22.924,23.378,22.893,23.211,51197400
2010-01-11,23.249,23.287,22.803,22.916,68754700
2010-01-12,22.825,23.015,22.644,22.765,65912100
2010-01-13,22.909,23.105,22.719,22.977,51863500
2010-01-14,22.946,23.545,22.909,23.439,63228100
2010-01-15,23.529,23.651,23.249,23.363,79913200
2010-01-19,23.28,23.651,23.227,23.545,46575700
2010-01-20,23.325,23.423,22.946,23.155,54849500
2010-01-21,23.174,23.257,22.712,22.719,73086700
2010-01-22,22.712,22.863,21.834,21.924,102004600
2010-01-25,22.136,22.454,22.03,22.197,63373000
2010-01-26,22.106,22.598,22.023,22.333,66639900
2010-01-27,22.22,22.575,21.97,22.462,63949500
2010-01-28,22.591,22.613,21.871,22.076,117513700
2010-01-29,22.636,22.651,20.94,21.334,193888500
2010-02-01,21.493,21.561,21.137,21.508,85931100
2010-02-02,21.478,21.576,21.304,21.546,54413700
2010-02-03,21.394,21.796,21.288,21.675,61397900
2010-02-04,21.485,21.576,21.054,21.077,77850000
2010-02-05,21.198,21.41,20.872,21.213,80960100
2010-02-08,21.205,21.258,20.872,20.986,52820600
2010-02-09,21.175,21.455,21.008,21.205,59195800
2010-02-10,21.22,21.379,21.077,21.19,48591300
2010-02-11,21.145,21.5,20.971,21.288,65993700
2010-02-12,21.054,21.243,20.88,21.145,81117200
2010-02-16,21.394,21.576,21.31,21.561,51935600
2010-02-17,21.698,21.789,21.569,21.744,45882900
2010-02-18,21.744,22.078,21.683,22.032,42856500
2010-02-19,21.896,21.995,21.82,21.88,44451800
2010-02-22,21.934,22.01,21.789,21.85,36707100
2010-02-23,21.812,21.926,21.363,21.546,52266200
2010-02-24,21.69,21.896,21.584,21.774,43165900
2010-02-25,21.5,21.789,21.31,21.751,48735300
2010-02-26,21.789,21.941,21.683,21.804,40370600
2010-03-01,21.88,22.093,21.698,22.071,43805400
2010-03-02,22.116,22.284,21.477,21.645,93123900
2010-03-03,21.683,21.759,21.561,21.645,48442100
2010-03-04,21.645,21.789,21.5,21.774,42890600
2010-03-05,21.797,21.812,21.614,21.742,56001800
2010-03-08,21.69,22.002,21.675,21.774,39414500
2010-03-09,21.721,22.139,21.713,21.903,50271600
2010-03-10,21.949,22.139,21.903,22.033,44891400
2010-03-11,21.972,22.2,21.941,22.192,35349700
2010-03-12,22.299,22.344,22.086,22.261,31700200
2010-03-15,22.192,22.337,22.063,22.276,37512000
2010-03-16,22.375,22.428,22.207,22.337,36723500
2010-03-17,22.436,22.717,22.36,22.535,50385700
2010-03-18,22.533,22.603,22.436,22.519,43845200
2010-03-19,22.633,22.74,22.322,22.504,81332100
2010-03-22,22.436,22.588,22.352,22.512,37718200
2010-03-23,22.504,22.74,22.367,22.725,42026600
2010-03-24,22.603,22.702,22.512,22.55,33987700
2010-03-25,22.709,23.249,22.664,22.824,73168700
2010-03-26,22.884,22.968,22.504,22.557,55595500
2010-03-29,22.595,22.679,22.474,22.504,33336000
2010-03-30,22.535,22.709,22.436,22.641,34954800
2010-03-31,22.542,22.603,22.185,22.274,63760000
2010-04-01,22.322,22.466,21.766,22.177,74768100
2010-04-05,22.154,22.379,22.078,22.261,34331200
2010-04-06,22.169,22.496,22.04,22.299,47366800
2010-04-07,22.177,22.481,22.162,22.322,58318800
2010-04-08,22.299,22.797,22.284,22.755,63713800
2010-04-09,22.778,23.128,22.736,23.074,54752500
2010-04-12,23.006,23.189,22.972,23.059,37068800
2010-04-13,22.93,23.196,22.915,23.158,41374600
2010-04-14,23.417,23.576,23.318,23.44,68941200
2010-04-15,23.44,23.538,23.356,23.478,52745400
2010-04-16,23.417,23.561,23.272,23.325,88703100
2010-04-19,23.402,23.767,23.394,23.606,64970300
2010-04-20,23.744,23.911,23.675,23.85,52199500
2010-04-21,23.827,23.957,23.751,23.829,55343100
2010-04-22,23.607,23.98,23.5,23.873,84847600
2010-04-23,23.668,24.018,23.31,23.546,126766600
2010-04-26,23.576,23.786,23.47,23.66,63649300
2010-04-27,23.538,23.767,23.386,23.459,68730900
2010-04-28,23.516,23.576,23.287,23.508,64557900
2010-04-29,23.523,23.906,23.325,23.579,52665200
2010-04-30,23.63,23.637,23.211,23.223,63214800
2010-05-03,23.325,23.623,23.257,23.47,43989500
2010-05-04,23.211,23.234,22.626,22.915,82085600
2010-05-05,22.641,22.884,22.58,22.702,66833800
2010-05-06,22.504,22.725,21.226,22.04,128613000
2010-05-07,22.002,22.017,20.778,21.455,173718100
2010-05-10,22.063,22.42,21.835,22.01,86653300
2010-05-11,21.812,22.55,21.728,21.964,63789400
2010-05-12,22.04,22.496,21.995,22.39,47146800
2010-05-13,22.253,22.611,22.192,22.238,45188800
2010-05-14,22.207,22.215,21.782,22.002,63334000
2010-05-17,22.147,22.23,21.637,22.01,46053300
2010-05-18,22.056,22.156,21.697,21.848,52690600
2010-05-19,21.789,21.919,21.231,21.575,61746700
2010-05-20,21.124,21.269,20.658,20.712,87991100
2010-05-21,20.345,20.712,20.2,20.505,117596300
2010-05-24,20.513,20.521,20.062,20.07,73711700
2010-05-25,19.596,20.116,19.39,19.917,98373600
2010-05-26,20.039,20.326,18.764,19.107,176684100
2010-05-27,19.657,20.139,19.654,19.864,136433600
2010-05-28,19.741,19.955,19.604,19.711,67496900
2010-06-01,19.505,20.101,19.497,19.78,76152400
2010-06-02,19.91,20.23,19.657,20.215,65718800
2010-06-03,20.284,20.574,20.177,20.521,67837000
2010-06-04,19.94,20.299,19.573,19.703,89832200
2010-06-07,19.726,19.734,19.283,19.321,80456200
2010-06-08,19.291,19.298,18.832,19.184,87355000
2010-06-09,19.268,19.497,18.909,18.939,87794000
2010-06-10,19.199,19.214,18.932,19.1,78930900
2010-06-11,19.13,19.65,18.924,19.604,68057700
2010-06-14,19.757,19.833,19.459,19.478,50972400
2010-06-15,19.673,20.36,19.665,20.309,81641500
2010-06-16,20.223,20.307,20.039,20.108,48698000
2010-06-17,20.292,20.376,19.894,20.146,47995500
2010-06-18,20.146,20.269,19.994,20.2,52075600
2010-06-21,20.46,20.544,19.78,19.825,54625300
2010-06-22,19.986,20.207,19.68,19.688,55985400
2010-06-23,19.696,19.696,19.268,19.335,61466200
2010-06-24,19.451,19.65,19.046,19.1,85243400
2010-06-25,19.138,19.184,18.573,18.743,156256700
2010-06-28,18.725,18.802,18.427,18.573,73784800
2010-06-29,18.435,18.488,17.656,17.809,119882100
2010-06-30,17.801,18.091,17.534,17.579,81050500
2010-07-01,17.64,17.816,17.365,17.694,92239400
2010-07-02,17.847,17.938,17.61,17.778,62485100
2010-07-06,18.106,18.404,18.018,18.198,73592000
2010-07-07,18.198,18.58,18.038,18.565,79965300
2010-07-08,18.794,18.809,18.314,18.649,50758100
2010-07-09,18.588,18.649,18.45,18.542,53806100
2010-07-12,18.664,19.016,18.657,18.97,49854200
2010-07-13,19.207,19.329,19.023,19.199,61928700
2010-07-14,19.482,19.566,19.191,19.436,72808100
2010-07-15,19.482,19.55,19.084,19.489,56934700
2010-07-16,19.489,19.589,19.008,19.016,65064800
2010-07-19,19.069,19.329,19.031,19.275,38181800
2010-07-20,18.993,19.466,18.87,19.466,45530700
2010-07-21,19.558,19.596,19.081,19.191,73297300
2010-07-22,19.489,19.856,19.459,19.741,73016400
2010-07-23,19.741,19.879,19.291,19.719,108520100
2010-07-26,19.757,20.016,19.711,19.94,67249900
2010-07-27,19.971,20.047,19.833,19.986,60672100
2010-07-28,19.917,20.009,19.734,19.825,69704800
2010-07-29,19.963,20.177,19.558,19.887,69446200
2010-07-30,19.673,19.741,19.367,19.719,83534800
2010-08-02,19.856,20.154,19.673,20.116,55044600
2010-08-03,20.016,20.131,19.841,19.986,56877700
2010-08-04,19.978,20.047,19.436,19.657,78531900
2010-08-05,19.474,19.543,19.26,19.382,64922100
2010-08-06,19.237,19.528,19.115,19.52,55982100
2010-08-09,19.52,19.657,19.382,19.566,57096500
2010-08-10,19.352,19.359,19.008,19.153,87257700
2010-08-11,18.855,19.023,18.764,18.993,76746900
2010-08-12,18.657,18.857,18.611,18.71,70240500
2010-08-13,18.603,18.848,18.519,18.641,45263500
2010-08-16,18.611,18.802,18.565,18.718,40909700
2010-08-17,18.977,19.169,18.893,18.977,52912600
2010-08-18,18.954,19.162,18.747,19.062,46818900
2010-08-19,18.908,19,18.593,18.77,54064600
2010-08-20,18.67,18.739,18.586,18.609,49560100
2010-08-23,18.77,18.924,18.616,18.647,51643000
2010-08-24,18.501,18.701,18.432,18.463,66522500
2010-08-25,18.432,18.601,18.332,18.509,47404800
2010-08-26,18.501,18.578,18.271,18.294,49105300
2010-08-27,18.34,18.448,18.056,18.378,60939400
2010-08-30,18.232,18.294,18.125,18.156,45453100
2010-08-31,18.125,18.225,17.91,18.021,66074600
2010-09-01,18.179,18.394,18.079,18.355,65235900
2010-09-02,18.34,18.394,18.209,18.386,48837100
2010-09-03,18.616,18.778,18.586,18.655,64189100
2010-09-07,18.509,18.663,18.371,18.401,51928700
2010-09-08,18.486,18.586,18.232,18.378,65512400
2010-09-09,18.578,18.593,18.424,18.44,46028900
2010-09-10,18.417,18.455,18.271,18.317,58284300
2010-09-13,18.586,19.423,18.501,19.285,114680400
2010-09-14,19.231,19.469,19.116,19.223,87160400
2010-09-15,19.277,19.369,19.139,19.288,56201900
2010-09-16,19.246,19.484,19.239,19.454,44548300
2010-09-17,19.507,19.607,19.262,19.369,70341600
2010-09-20,19.415,19.6,19.285,19.53,49838700
2010-09-21,19.523,19.523,19.262,19.315,52675700
2010-09-22,19.116,19.177,18.709,18.901,94299400
2010-09-23,18.824,18.885,18.709,18.762,46201800
2010-09-24,18.924,19.047,18.878,19.027,51948800
2010-09-27,19.077,19.192,18.885,18.995,43603300
2010-09-28,19.047,19.123,18.701,18.952,56041200
2010-09-29,18.916,18.939,18.739,18.816,44318900
2010-09-30,18.901,19.07,18.709,18.808,61262700
2010-10-01,18.808,19.062,18.663,18.724,62672300
2010-10-04,18.401,18.424,18.263,18.363,98143400
