Date,Open,High,Low,Close,Volume
2010-01-04,4.245,4.271,4.154,4.241,20005100
2010-01-05,4.245,4.349,4.225,4.303,18216200
2010-01-06,4.3,4.339,4.259,4.33,16229200
2010-01-07,4.307,4.326,4.213,4.245,13694800
2010-01-08,4.211,4.285,4.186,4.255,11954200
2010-01-11,4.278,4.296,4.135,4.195,13915300
2010-01-12,4.133,4.149,3.966,4.053,15685800
2010-01-13,4.08,4.122,3.922,4.108,12721700
2010-01-14,4.057,4.087,3.975,4.044,15213100
2010-01-15,4.014,4.048,3.872,3.924,20454800
2010-01-19,3.894,4.023,3.883,3.998,13633200
2010-01-20,3.947,3.998,3.894,3.981,17993200
2010-01-21,3.979,4.05,3.874,3.911,15215800
2010-01-22,3.865,3.936,3.752,3.775,26697900
2010-01-25,3.837,3.913,3.81,3.839,16091900
2010-01-26,3.821,3.846,3.716,3.718,17865900
2010-01-27,3.716,3.833,3.674,3.819,20312600
2010-01-28,3.849,3.862,3.638,3.69,17194100
2010-01-29,3.732,3.773,3.475,3.53,19367500
2010-02-01,3.544,3.807,3.514,3.8,23745800
2010-02-02,3.787,3.888,3.775,3.839,21245300
2010-02-03,3.805,3.888,3.787,3.872,14057400
2010-02-04,3.837,3.837,3.606,3.647,19587000
2010-02-05,3.642,3.729,3.578,3.72,15121400
2010-02-08,3.709,3.803,3.641,3.713,11129000
2010-02-09,3.773,3.791,3.647,3.683,23253600
2010-02-10,3.706,3.789,3.681,3.755,13395700
2010-02-11,3.814,3.968,3.787,3.927,17399500
2010-02-12,3.899,4.06,3.854,3.979,19505300
2010-02-16,4.032,4.069,3.984,4.053,11425600
2010-02-17,4.103,4.106,3.974,4.092,21914000
2010-02-18,3.867,3.888,3.718,3.823,37887700
2010-02-19,3.807,3.849,3.784,3.803,12763700
2010-02-22,3.819,3.876,3.784,3.81,11452100
2010-02-23,3.821,3.837,3.679,3.718,12244100
2010-02-24,3.75,3.833,3.739,3.796,11146700
2010-02-25,3.709,3.771,3.615,3.761,14424300
2010-02-26,3.743,3.771,3.693,3.716,9834900
2010-03-01,3.718,3.883,3.688,3.865,13896700
2010-03-02,3.899,3.947,3.835,3.862,13466200
2010-03-03,3.885,3.906,3.782,3.814,9982500
2010-03-04,3.83,3.86,3.773,3.821,13934900
2010-03-05,3.794,3.966,3.794,3.938,15820800
2010-03-08,3.94,3.952,3.865,3.881,10982800
2010-03-09,3.92,4.064,3.917,4.025,20770800
2010-03-10,4.014,4.078,4.011,4.034,10463000
2010-03-11,4.002,4.016,3.927,3.943,13516500
2010-03-12,3.986,3.998,3.936,3.956,13008800
2010-03-15,3.952,3.991,3.899,3.936,8972600
2010-03-16,3.933,4.096,3.931,4.072,16624700
2010-03-17,4.096,4.206,4.096,4.151,16279200
2010-03-18,4.158,4.158,3.968,4.005,18524100
2010-03-19,4.064,4.076,3.906,3.956,14615300
2010-03-22,3.906,4.037,3.906,4.021,10883400
2010-03-23,4.049,4.124,4.023,4.103,12340300
2010-03-24,4.069,4.08,3.958,3.966,10906300
2010-03-25,4.023,4.048,3.968,3.977,12379600
2010-03-26,4.011,4.053,3.944,3.977,8616900
2010-03-29,4.002,4.037,3.947,4.028,9861400
2010-03-30,4.073,4.094,3.975,4.044,8102600
2010-03-31,4.028,4.046,3.97,3.991,9746000
2010-04-01,4.009,4.055,3.908,3.95,8491600
2010-04-05,3.975,4.016,3.97,4.009,10340900
2010-04-06,3.959,3.968,3.842,3.911,20231500
2010-04-07,3.885,4.002,3.853,3.936,20436700
2010-04-08,3.911,3.939,3.851,3.872,25940000
2010-04-09,3.862,3.911,3.842,3.897,20439300
2010-04-12,3.901,3.984,3.894,3.968,13661500
2010-04-13,3.984,4.064,3.968,4.05,16217400
2010-04-14,4.138,4.158,4.037,4.101,22518000
2010-04-15,4.115,4.156,4.073,4.131,23939900
2010-04-16,3.963,3.979,3.826,3.913,47943400
2010-04-19,3.883,3.906,3.764,3.894,27362300
2010-04-20,3.922,3.963,3.858,3.908,16954700
2010-04-21,3.929,3.933,3.761,3.807,22397700
2010-04-22,3.745,3.835,3.693,3.823,16423300
2010-04-23,3.812,3.821,3.704,3.771,18822900
2010-04-26,3.775,3.853,3.768,3.807,12277300
2010-04-27,3.78,3.819,3.688,3.7,15167600
2010-04-28,3.697,3.759,3.631,3.706,16804100
2010-04-29,3.718,3.823,3.663,3.819,24678200
2010-04-30,3.773,3.78,3.601,3.603,26701200
2010-05-03,3.622,3.642,3.509,3.564,26974300
2010-05-04,3.509,3.516,3.333,3.383,32784400
2010-05-05,3.314,3.411,3.284,3.326,33271000
2010-05-06,3.303,3.372,2.991,3.257,25072200
2010-05-07,3.287,3.287,3.087,3.202,28842800
2010-05-10,3.394,3.436,3.303,3.339,24478900
2010-05-11,3.307,3.369,3.278,3.303,20728100
2010-05-12,3.326,3.385,3.305,3.367,22530900
2010-05-13,3.353,3.507,3.328,3.36,31300000
2010-05-14,3.133,3.142,2.89,2.972,62326700
2010-05-17,2.977,3.016,2.885,2.979,21401500
2010-05-18,3.005,3.023,2.865,2.881,16852800
2010-05-19,2.867,2.931,2.846,2.927,20663000
2010-05-20,2.842,2.927,2.755,2.858,28228400
2010-05-21,2.775,2.999,2.775,2.92,26740000
2010-05-24,2.911,2.945,2.826,2.835,16614100
2010-05-25,2.745,2.924,2.718,2.911,24166300
2010-05-26,3.028,3.085,2.915,2.924,24875700
2010-05-27,2.998,3.096,2.991,3.096,17839000
2010-05-28,3.092,3.092,2.968,3.014,13627900
2010-06-01,2.972,3.007,2.883,2.885,13187300
2010-06-02,2.89,2.921,2.87,2.917,16227200
2010-06-03,2.858,2.92,2.849,2.913,14659000
2010-06-04,2.828,2.878,2.759,2.774,16786400
