Date,Open,High,Low,Close,Volume
1999-11-01,50.297,50.654,49.448,49.498,949300
1999-11-02,49.363,51.189,49.32,49.762,543000
1999-11-03,49.805,49.855,48.735,49.049,924000
1999-11-04,49.719,50.476,49.541,50.033,570400
1999-11-05,51.367,53.015,50.832,52.573,1304900
1999-11-08,52.437,52.437,51.724,52.081,651600
1999-11-09,52.437,52.48,51.189,51.282,695600
1999-11-10,50.654,51.902,50.39,51.325,678700
1999-11-11,51.367,52.437,51.053,52.302,574300
1999-11-12,52.751,56.939,52.616,56.896,2227700
1999-11-15,56.183,57.032,55.113,55.648,997100
1999-11-16,55.919,59.215,55.919,59.08,1505100
1999-11-17,57.881,58.059,56.047,56.761,1245400
1999-11-18,56.939,57.881,56.54,57.21,1111500
1999-11-19,57.075,57.703,56.811,57.032,329600
1999-11-22,56.718,57.253,56.005,56.854,329900
1999-11-23,57.032,57.524,55.291,55.47,656300
1999-11-24,55.291,55.47,54.756,55.027,515700
1999-11-26,55.07,55.47,54.671,55.156,107600
1999-11-29,55.113,55.113,53.065,53.151,517900
1999-11-30,53.329,55.027,53.151,53.6,925000
1999-12-01,53.329,54.357,53.329,54.357,500000
1999-12-02,54.399,55.384,54.399,55.291,453600
1999-12-03,56.005,57.567,55.919,56.404,669500
1999-12-06,56.497,56.583,54.621,54.934,295100
1999-12-07,55.113,57.745,55.113,57.745,883100
1999-12-08,58.366,58.366,57.075,57.075,732200
1999-12-09,57.61,58.68,56.896,57.075,1205700
1999-12-10,57.075,58.816,56.761,58.502,1386300
1999-12-13,58.145,59.172,57.831,58.544,938500
1999-12-14,58.102,58.102,55.512,56.183,1105800
1999-12-15,55.47,56.718,55.47,56.675,1073800
1999-12-16,56.497,56.718,55.47,56.047,307900
1999-12-17,57.21,57.474,55.962,57.21,542100
1999-12-20,58.502,59.665,57.61,58.416,1302600
1999-12-21,57.524,59.215,56.718,57.745,1189900
1999-12-22,57.788,58.059,56.454,56.854,526800
1999-12-23,57.788,58.816,57.567,57.788,532000
1999-12-27,57.432,59.129,57.432,58.544,389200
1999-12-28,58.544,61.134,58.544,60.642,821800
1999-12-29,60.999,62.918,60.913,62.782,794800
1999-12-30,64.209,66.264,63.895,65.772,969200
1999-12-31,65.593,67.641,65.279,67.198,383500
2000-01-03,67.198,67.198,62.604,63.003,1822600
2000-01-04,62.069,62.426,58.68,59.037,1647700
2000-01-05,57.703,58.416,56.361,56.854,1516600
2000-01-06,56.097,60.285,56.097,58.68,1845100
2000-01-07,59.258,59.351,56.989,58.901,1127400
2000-01-10,58.323,60.556,58.323,60.2,803100
2000-01-11,60.642,61.534,60.328,60.506,808600
2000-01-12,60.021,61.355,59.486,60.2,916100
2000-01-13,60.735,60.735,59.129,60.285,711000
2000-01-14,60.999,62.026,60.863,61.091,607000
2000-01-18,60.642,63.588,60.464,61.983,1095700
2000-01-19,61.983,63.767,61.89,62.468,636900
2000-01-20,62.156,62.827,60.641,61.398,621800
2000-01-21,61.577,61.577,60.412,61.22,542500
2000-01-24,62.513,62.513,58.226,58.405,712900
2000-01-25,59.298,60.148,58.855,59.926,749300
2000-01-26,60.105,63.227,60.105,63.049,1086600
2000-01-27,63.049,64.256,62.606,63.584,702000
2000-01-28,62.513,62.87,61.534,62.156,776800
2000-01-31,62.156,65.506,61.798,65.463,801800
2000-02-01,66.356,66.442,64.656,65.192,813100
2000-02-02,64.835,65.463,63.32,65.106,964700
2000-02-03,64.299,65.106,60.591,60.998,2213300
2000-02-04,60.505,60.948,59.698,60.505,1451700
2000-02-07,60.327,61.798,59.655,61.262,929800
2000-02-08,61.262,64.034,61.262,63.899,1024800
2000-02-09,63.899,63.899,61.841,61.977,397100
2000-02-10,61.977,62.377,61.084,61.891,503200
2000-02-11,61.755,63.406,60.727,60.82,856900
2000-02-14,60.82,62.07,60.462,61.798,627800
2000-02-15,61.62,61.891,60.82,61.798,542400
2000-02-16,61.977,62.377,59.212,59.255,720300
2000-02-17,60.548,60.548,57.962,58.676,895500
2000-02-18,60.369,60.369,57.69,57.733,925500
2000-02-22,58.048,58.855,57.647,58.269,720100
2000-02-23,58.09,62.156,57.912,61.262,702900
2000-02-24,61.305,64.256,61.084,64.034,1199800
2000-02-25,63.899,67.157,63.049,63.763,1333000
2000-02-28,63.763,63.763,62.156,62.87,518000
2000-02-29,63.406,66.085,62.87,66.085,1381200
2000-03-01,66.621,69.121,66.578,67.692,1488900
2000-03-02,68.05,69.929,67.249,68.764,1819200
2000-03-03,69.3,73.229,69.121,73.229,2295900
2000-03-06,73.444,75.23,73.158,74.087,1421000
2000-03-07,74.229,75.587,73.158,74.944,1041300
2000-03-08,75.015,75.301,71.222,72.729,1041100
2000-03-09,72.729,77.301,72.372,76.587,535500
2000-03-10,78.445,85.017,77.516,80.231,2034400
2000-03-13,76.801,82.517,76.087,78.873,1454200
2000-03-14,79.659,80.659,73.944,74.872,653100
2000-03-15,73.229,75.372,72.443,74.015,700300
2000-03-16,74.229,75.015,70.907,73.801,2024800
2000-03-17,74.372,83.874,73.801,83.231,2099400
2000-03-20,84.017,87.875,80.445,81.016,2254000
2000-03-21,79.302,85.589,76.087,84.517,2692800
2000-03-22,82.088,84.231,82.017,83.66,1258900
2000-03-23,83.231,85.017,82.231,85.017,1656900
2000-03-24,85.017,91.447,84.089,86.66,1934400
2000-03-27,84.517,85.303,79.873,80.016,1315000
2000-03-28,78.23,82.517,77.516,80.945,1649400
2000-03-29,81.445,82.945,79.159,81.588,754300
2000-03-30,80.445,82.16,75.087,76.373,1241200
2000-03-31,77.159,79.945,73.801,75.23,1693300
2000-04-03,77.73,79.159,75.372,75.372,1789500
2000-04-04,75.73,75.944,65.149,70.193,3739600
2000-04-05,69.657,71.179,66.799,69.614,3238700
2000-04-06,72.158,75.73,71.443,75.73,1675700
2000-04-07,75.944,76.658,72.3,73.229,1373500
2000-04-10,74.301,77.944,74.015,76.516,1749900
2000-04-11,76.516,77.373,74.515,74.872,1147200
2000-04-12,76.087,76.658,68.943,68.985,2598500
2000-04-13,69.121,70.107,65.949,68.05,3377700
2000-04-14,66.263,66.263,56.754,59.119,4855800
2000-04-17,58.405,62.691,57.869,62.513,3489600
2000-04-18,62.513,67.828,62.07,66.978,2191500
2000-04-19,66.843,66.886,64.118,65.856,1390200
2000-04-20,65.677,65.677,62.952,63.531,1061100
2000-04-24,63.531,65.456,60.541,62.151,1764300
2000-04-25,63.403,70.02,62.594,69.433,1341500
2000-04-26,69.791,70.914,67.244,67.602,1626100
2000-04-27,65.456,68.854,64.654,68.095,1772400
2000-04-28,68.854,69.748,65.012,66.708,1145600
2000-05-01,66.708,72.681,66.708,69.39,2319300
2000-05-02,67.959,69.841,66.171,66.529,1666500
2000-05-03,65.992,68.496,64.161,65.191,1931000
2000-05-04,65.37,65.813,63.045,64.519,920700
2000-05-05,63.939,65.949,62.551,64.297,1378100
2000-05-08,61.521,62.866,61.342,62.458,2817000
2000-05-09,61.521,62.237,60.627,61.256,1739100
2000-05-10,59.375,59.869,57.63,58.259,2340600
2000-05-11,58.302,59.554,57.544,57.859,2276000
2000-05-12,57.408,60.72,57.408,59.926,1911200
2000-05-15,59.955,62.952,59.955,62.279,1668900
2000-05-16,62.952,63.846,60.09,61.163,2538400
2000-05-17,60.899,61.521,59.375,60.584,1231000
2000-05-18,60.005,62.594,60.005,60.985,1493000
2000-05-19,60.269,60.806,58.753,60.491,1537500
2000-05-22,59.733,60.005,57.68,58.66,1345600
2000-05-23,58.574,61.163,58.302,59.239,1203900
2000-05-24,59.11,59.826,56.871,57.229,1530200
2000-05-25,57.587,59.647,51.463,52.221,4030100
2000-05-26,52.314,52.493,49.632,49.939,2378100
2000-05-30,51.148,52.536,50.526,51.506,2205300
2000-05-31,51.506,53.566,50.884,52.622,1363800
2000-06-01,53.337,55.577,52.672,54.639,1684900
2000-06-02,60.448,62.415,59.733,62.151,3567900
2000-06-05,62.151,62.866,60.448,60.448,1576600
2000-06-06,60.09,60.899,58.481,59.468,1033200
2000-06-07,59.289,62.952,58.932,62.015,1319900
2000-06-08,62.151,62.687,60.849,60.849,1255000
2000-06-09,60.899,61.922,59.554,59.554,1006800
2000-06-12,59.597,60.312,58.481,59.597,732800
2000-06-13,59.733,61.342,59.11,60.899,773200
2000-06-14,60.942,64.654,60.67,64.34,1953600
2000-06-15,64.34,64.962,62.237,64.561,2120900
2000-06-16,64.561,65.413,62.687,64.34,1792300
2000-06-19,64.519,66.529,64.025,65.549,2092900
2000-06-20,65.456,66.843,62.508,63.667,2362600
2000-06-21,62.952,63.224,60.269,61.972,2875200
2000-06-22,61.972,61.972,58.66,60.269,1480100
2000-06-23,60.985,62.237,60.09,61.521,1616700
2000-06-26,62.058,62.952,61.342,62.773,1175700
2000-06-27,62.773,63.939,62.687,63.174,1175700
2000-06-28,62.952,65.055,62.952,64.297,1180400
2000-06-29,64.476,66.622,63.174,66.264,1385400
2000-06-30,66.529,68.632,66.214,67.795,2540600
2000-07-03,67.516,67.917,66.843,67.917,453100
2000-07-05,67.516,69.39,67.158,68.632,1077000
2000-07-06,64.383,67.244,63.224,66.665,3343100
2000-07-07,66.665,68.138,65.055,67.917,1265600
2000-07-10,67.874,70.735,67.108,69.884,1498700
2000-07-11,69.791,70.957,69.433,70.463,1249100
2000-07-12,71.608,74.612,71.608,72.895,2751000
